Title,Artist
Fly Me to the Moon,Frank Sinatra
Autumn Leaves,
Just the Two of Us,Grover Washington Jr.
Feeling Good,Nina Simone
Take Five,Dave Brubeck
Georgia on My Mind,Ray Charles
Sway,Dean Martin
Hit the Road Jack,Ray Charles
Dancing in Wartime,Miles Laroque
I've Got a Woman,Ray Charles
Careless Whisper,George Michael
Stand By Me,Ben E. King
Knockin' on Heaven's Door,Bob Dylan
Can't Help Falling in Love,Elvis Presley
Imagine,John Lennon
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell
Hotel California,Eagles
Can't Take My Eyes Off You,Frankie Valli
What a Wonderful World,Louis Armstrong
I'm Not the Only One,Sam Smith
Ain't No Sunshine,Bill Withers
Back to Black,Amy Winehouse
Perfect,Ed Sheeran
City of Stars,La La Land
A Thousand Years,Christina Perri
Say Something,A Great Big World
Someone Like You,Adele
Fix You,Coldplay
Chasing Cars,Snow Patrol
Stay With Me,Sam Smith
"Sex, Drugs, Etc.",Beach Weather
Mad About You,Hooverphonic
Creep,Radiohead
Wicked Game,Chris Isaak
Listen Before I Go,Billie Eilish
Happier Than Ever,Billie Eilish
The Night We Met,Lord Huron
Experience,Ludovico Einaudi
Idea 22,Gibran Alcocer
Only If I Could Tell,Ludovico Einaudi
Una Mattina,Ludovico Einaudi
Valse Sentimentale,Tchaikovsky
Je te laisserai des mots,Patrick Watson
Solas,Joep Beving
Mia & Sebastian's Theme,Justin Hurwitz
Lamma Bada Yatathanna,
Habibi Ya Nour El Ain,Amr Diab
Ahwak,Abdel Halim Hafez
Kan Enna Tahoun,Fairuz
Talat Daqat,
3ahd Asdikae,
Win,Halim Yousfi
Diroulha Laaka / Nti Sbabi,
A Girl Within My Soul,Yanni
Asabaka 3ichqon,
Smooth,Santana ft. Rob Thomas
Tum Hi Ho,Arijit Singh
Kan Kitshabhoum,Shayfeen
Brm Brm Brm,
Maak,Draganov
Briya,Djam
Datni Skra,Khaled
